var_x,var_y,rho,pvalue
size_lines,changed_files,0.7539056144602484,0.0
size_lines,review_duration_hours,0.10756376319101536,5.66039472551269e-188
size_lines,description_length,0.007492843858633962,0.042244086321653496
size_lines,participants_count,0.20787151251874658,0.0
size_lines,comments_count,0.2639192155333709,0.0
changed_files,size_lines,0.7539056144602484,0.0
changed_files,review_duration_hours,0.06087485841298183,2.785969311944746e-61
changed_files,description_length,0.012212048542392405,0.0009315161433075539
changed_files,participants_count,0.22298529436339745,0.0
changed_files,comments_count,0.24856291330411992,0.0
review_duration_hours,size_lines,0.10756376319101536,5.66039472551269e-188
review_duration_hours,changed_files,0.06087485841298183,2.785969311944746e-61
review_duration_hours,description_length,0.03914731741589639,2.518986624505201e-26
review_duration_hours,participants_count,0.30753727303955347,0.0
review_duration_hours,comments_count,0.27991743466332963,0.0
description_length,size_lines,0.007492843858633961,0.042244086321653516
description_length,changed_files,0.012212048542392407,0.0009315161433075522
description_length,review_duration_hours,0.03914731741589639,2.518986624505201e-26
description_length,participants_count,-0.06250693739512395,1.6154622673822757e-64
description_length,comments_count,0.1509297390332804,0.0
participants_count,size_lines,0.2078715125187466,0.0
participants_count,changed_files,0.22298529436339745,0.0
participants_count,review_duration_hours,0.3075372730395534,0.0
participants_count,description_length,-0.06250693739512395,1.6154622673822757e-64
participants_count,comments_count,0.4524249138833816,0.0
comments_count,size_lines,0.2639192155333709,0.0
comments_count,changed_files,0.24856291330411992,0.0
comments_count,review_duration_hours,0.2799174346633296,0.0
comments_count,description_length,0.15092973903328039,0.0
comments_count,participants_count,0.4524249138833816,0.0
